Rank,Player,Pos,Nationality,League,GP,G,A,Pts,NHLe,Size,Fantasy_Tier,Style,Fantasy_Cats,Scouting_Note,Trend,Stock_Note
1,Gavin McKenna,LW,CAN,NCAA (Penn State),35,15,36,51,39.8,6'0 170,Elite,Elite Playmaker,"A, 2G+A, SOG, Cor",The consensus #1 pick with elite vision and passing -- expect heavy assist totals and multi-point games as a future PP1 driver. Shot volume and Corsi will be excellent at the NHL level.,stable,
2,Ivar Stenberg,LW/RW,SWE,SHL (Frolunda),43,11,22,33,37.5,6'0 181,Elite,Playmaker,"A, 2G+A, Cor, TK/GV",William Nylander comp with a two-way transition game and elite timing; assists and multi-point games will come in bunches as a PP contributor with strong Corsi and TK/GV.,stable,Representing Sweden at senior Worlds — strong showing further cements top-2 status and makes McKenna vs. Stenberg the draft's central debate.
3,Keaton Verhoeff,RD,CAN,NCAA (North Dakota),35,6,14,20,20.6,6'4 212,Elite,Offensive D,"SOG, Blk, A, Cor",Elite-sized two-way D projected as a top-pair anchor; heavy shot from the point and proactive defensive instincts generate blocked shots and SOG with PP assist upside.,down,Skating concerns have grown among scouts — stride described as 'stiff' at NHL pace. Still a top-6 pick but has fallen from top-3 buzz of pre-season.
4,Chase Reid,RD,USA,OHL (Soo),45,18,30,48,28.3,6'2 187,Top 10,Offensive D,"SOG, A, 2G+A, Cor",Dynamic puck-carrying defenseman and top play-driver in the class; high shot volume and multi-point games from power play deployment make him a premier fantasy D-man.,stable,
5,Alberts Smits,LD,LAT,Liiga (Jukurit),38,6,7,13,12.7,6'3 205,Top 10,Offensive D,"SOG, A, Blk, Cor",Big-bodied Liiga D with a heavy point shot and elite PP one-timer; shot-happy tendency translates directly to SOG totals with puck-moving skill adding assist and Corsi value.,stable,
6,Caleb Malhotra,C,CAN,OHL (Brantford),67,29,55,84,33.2,6'2 183,Top 10,Two-Way C,"A, G, 2G+A, TK/GV",The draft's top center (84 OHL pts) combines top-six scoring with elite defensive instincts -- multi-point capacity and takeaway value project well to fantasy across all deployment situations.,up,Now consensus #1 center in the class after 29G/55A regular season plus 26 pts in 15 OHL playoff games. Some boards have him as high as 3rd overall.
7,Tynan Lawrence,C,CAN,NCAA (Boston U),18,2,5,7,12.5,6'0 185,Top 10,Two-Way C,"TK/GV, A, Cor, Blk",Explosive two-way center whose standout skill is pick-pocketing opponents in transition; trusted in all situations including PK. Takeaways and Corsi are the primary fantasy categories.,stable,Returned mid-season from lower-body injury and showed 10G/17 pts in 13 games. No long-term concern; elite two-way tools fully intact.
8,Carson Carels,LD,CAN,WHL (Prince George),58,20,53,73,31.2,6'2 194,Top 10,Offensive D,"A, SOG, Cor, Blk","Elite-skating offensive D with a 20-goal OHL season; combination of shot generation and puck distribution make him a fantasy gold mine for SOG, assists, and Corsi from the point.",stable,
9,Ethan Belchetz,LW,CAN,OHL (Windsor),57,34,25,59,27.4,6'5 227,Top 10,Power Forward,"G, Hit, PIM, SOG",6-foot-5 Tom Wilson comp with surprisingly elite hands (34 OHL goals); hits and PIM accumulate naturally while net-front presence drives goals and multi-point games.,down,"INJURY: Broke his left clavicle March 3, requiring surgery. Missed OHL playoffs and U18 Worlds. Expected healthy for Michigan State in fall. Dropped from potential top-5 to ~10-15 range."
10,Viggo Bjorck,C/RW,SWE,SHL (Djurgardens),43,7,14,21,23.8,5'10 172,Top 10,Two-Way C,"A, TK/GV, Cor, Blk",Cerebral two-way center who earned top-six and PK time in the SHL at 17; elite stick-checking and breakout skill produce TK/GV and Corsi alongside playmaking assists.,up,Rose ~10 spots on multiple April boards. One of the youngest players seeing regular SHL top-six time and excelling. Dynasty ceiling is climbing.
11,Daxon Rudolph,RD,CAN,WHL (Prince Albert),54,8,32,40,19.7,6'2 203,Rd 1,Offensive D,"SOG, A, 2G+A, PIM","Rare offensive D-man who also dominates 1-on-1 defensively; led WHL D-men in scoring (40 pts) plus 75 PIM. SOG, PIM, and multi-point production give him a unique fantasy profile.",stable,
12,Ryan Lin,RD,CAN,WHL (Vancouver),58,12,38,50,22.4,5'11 176,Rd 1,Offensive D,"A, SOG, Cor, 2G+A","Dynamic blueline creator who led Vancouver Giants in scoring (50 pts); high hockey IQ and PP deployment translate to power-play assists, strong SOG totals, and elite Corsi numbers.",up,Returned from mid-season lower-body injury and led ALL defensemen at U18 Worlds with 6 points. Fully healthy; stock fully restored to first-round range.
13,Oscar Hemming,C,FIN,NCAA (Boston College),36,10,15,25,22.7,6'4 198,Rd 1,Power Forward,"G, SOG, Hit, 2G+A",6-foot-4 Finnish power forward with an NHL-ready wrist shot who dominates slot and net-front areas; physical game generates hits naturally while goals and SOG are the core fantasy output.,stable,
14,Adam Novotny,LW/RW,CZE,OHL (Peterborough),62,28,34,62,25.2,6'1 205,Rd 1,Sniper,"G, SOG, 2G+A, A",Czech winger posted 34 OHL goals with a dangerous quick-release wrister; goals and SOG are the primary fantasy output with multi-point games coming from PP deployment.,stable,
15,Oliver Suvanto,C,FIN,Liiga (Tappara),38,5,8,13,11.9,6'3 209,Rd 1,Two-Way C,"G, Hit, Blk, A","6-foot-3 Tappara center (Anton Lundell comp) who screens, deflects, and generates rebounds for goals with heavy frame; PK deployment adds blocked shot value.",down,Disappointing U18 Worlds for Finland deepened offensive questions scouts already had. Fell 8+ spots from a pre-season top-10 projection to late first round.
16,Xavier Villeneuve,LD,CAN,QMJHL (Blainville-Boisbriand),55,8,35,43,19.1,5'11 157,Rd 1,Offensive D,"A, SOG, 2G+A, Cor","Lane Hutson comp with elite agility and the shiftiest hands of any D in the class; projects as a top-10 fantasy defenseman for assists, SOG, and possession metrics as a PP quarterback.",down_big,"INJURY CONCERN: Has not played since January 4. Missed rest of season and playoffs. Size (5'11"", 157 lbs) combined with lengthy absence has some boards placing him outside Round 1 despite top-15 talent ceiling. Major draft-day risk."
17,Malte Gustafsson,LD,SWE,J20 Nationell (HV71),38,5,18,23,5.1,6'4 201,Rd 1,Two-Way D,"Blk, TK/GV, Cor, A","Big (6-foot-4) Swedish D who excels in gap control and lane disruption; fantasy value concentrated in blocked shots, Corsi, and takeaways with limited but real assist upside.",stable,
18,Elton Hermansson,RW/LW,SWE,Allsvenskan (MoDo),42,9,11,20,13.4,6'1 174,Rd 1,Skilled Winger,"G, A, SOG, Cor","Mid-range pick with sharp edgework, a powerful accurate shot, and strong hockey sense; projects as a reliable middle-six forward contributing goals, assists, and positive possession metrics.",stable,
